id_sala,predio,nome_sala,observacoes
5fe13b1d-51ba-4d6d-a77a-597a71324332,Salas de aula,Sala de aula 01,"30 cadeiras e mesas,  1 datashow,  lousa"
b5075f67-82a9-430f-a992-38a6abeb407c,Salas de aula,Sala de aula 02,"30 cadeiras e mesas,  1 datashow,  lousa"
a5de919a-e934-4248-b7b1-eb6a8ddd7f84,Salas de aula,Sala de aula 03,"30 cadeiras e mesas,  1 datashow,  lousa"
ed96abec-56df-4603-9b39-c23362de720b,Salas de aula,Sala de aula 04,"30 cadeiras e mesas,  1 datashow,  lousa"
b55364da-3f9f-4823-acf3-25c601e2d503,Salas de aula,Sala de aula 05,"30 cadeiras e mesas,  1 datashow,  lousa"
37af1ddc-7b84-4a4c-a9c2-7141976a0eb7,Salas de aula,Sala de aula 06,"30 cadeiras e mesas,  1 datashow,  lousa"
b34ae327-c0bb-42f8-b9e3-4edf19d3d1af,Salas de aula,Sala de aula 07,"30 cadeiras e mesas,  1 datashow,  lousa"
cf59bd3c-5af9-4331-8cb1-6fbaa2ee9fa5,Salas de aula,Sala de aula 08,"30 cadeiras e mesas,  1 datashow,  lousa"
d6c5e200-04fc-4e70-b015-48f12f22802b,Salas de aula,Sala de aula 09,"30 cadeiras e mesas,  1 datashow,  lousa"
c5c4a4c8-1c46-4335-afff-4cb3185be9cc,Salas de aula,Sala de aula 10,"30 cadeiras e mesas,  1 datashow,  lousa"
2477b7fe-7c07-41fb-98d6-a611b7266dcb,Salas de aula,Sala de aula 11,"30 cadeiras e mesas,  1 datashow,  lousa"
75321cae-335f-477b-95f8-5948a8ae410d,Salas de aula,Sala de aula 12,"30 cadeiras e mesas,  1 datashow,  lousa"
423476ae-92c0-4543-890e-9ef586734ef1,Salas de aula,Sala de aula 13,"30 cadeiras e mesas,  1 datashow,  lousa"
b1c83ae7-1696-4fb8-9032-350753f77bd0,Salas de aula,Sala de aula 14,"30 cadeiras e mesas,  1 datashow,  lousa"
0ae72e53-24d4-48aa-a2cf-7a3206deb9e0,Salas de aula,Sala de aula 15,"30 cadeiras e mesas,  1 datashow,  lousa"
71cc8634-d6fe-4fbd-94d4-db87e5bd2a98,Salas de aula,Sala de aula 16,"30 cadeiras e mesas,  1 datashow,  lousa"
86b13664-376a-4bc9-9a0a-f98d5b919ef0,Salas de aula,Sala de aula 17,"30 cadeiras e mesas,  1 datashow,  lousa"
54b51f80-5201-453f-9165-47bc1f7e36f2,Salas de aula,Sala de aula 18,"30 cadeiras e mesas,  1 datashow,  lousa"
0504b616-b92a-47e7-bdd5-6043a785b9a5,Salas de aula,Sala de aula 19,"30 cadeiras e mesas,  1 datashow,  lousa"
155bba2a-97cf-4727-9fc3-698de9571704,Salas de aula,Sala de aula 20,"30 cadeiras e mesas,  1 datashow,  lousa"
a21d9076-7762-4bca-a488-6c499e66d875,Salas de aula,Sala de aula 21,"30 cadeiras e mesas,  1 datashow,  lousa"
b9ec2ba1-4065-4397-b700-79f3e8840951,Salas de aula,Sala de aula 22,"30 cadeiras e mesas,  1 datashow,  lousa"
16bb3aee-1c0b-42f4-aa4a-7e006f2dcd9a,Salas de aula,Sala de aula 23,"30 cadeiras e mesas,  1 datashow,  lousa"
6d065cbe-16bc-49f4-ac83-5ddaa42e6b85,Salas de aula,Sala de aula 24,"30 cadeiras e mesas,  1 datashow,  lousa"
40f3f6c4-0b62-4431-8c8e-1d742f620320,Salas de aula,Sala de aula 25,"30 cadeiras e mesas,  1 datashow,  lousa"
55166f80-6c98-4a57-8c1e-8c3f6802bf30,Salas de aula,Sala de aula 26,"30 cadeiras e mesas,  1 datashow,  lousa"
ed4f623f-5875-421c-8df8-199b01ce2e33,Salas de aula,Sala de aula 27,"30 cadeiras e mesas,  1 datashow,  lousa"
23de85aa-bb44-49a1-9d9f-1635dc50a996,Salas de aula,Sala de aula 28,"30 cadeiras e mesas,  1 datashow,  lousa"
